Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2020-01-23,2020-01-23,2020-02-22,SUBSCRIPTION,ELO,2774,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-02-23
2020-01-23,,,payment_transaction,CC,2774,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-12-23,,,payment_transaction,CC,2774,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-12-23,2019-12-23,2020-01-22,SUBSCRIPTION,ELO,2774,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-01-23
2019-11-23,,,payment_transaction,CC,2774,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-11-23,2019-11-23,2019-12-22,SUBSCRIPTION,ELO,2774,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-12-23
2019-10-23,2019-10-23,2019-11-22,SUBSCRIPTION,ELO,2774,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-11-23
2019-10-23,,,payment_transaction,CC,2774,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-09-25,,,payment_transaction,CC,2774,,,,BRL,,1.0,VALIDATE,APPROVED,,BR,
2019-09-23,,,payment_transaction,CC,0688,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-09-23,2019-09-23,2019-10-22,SUBSCRIPTION,MASTERCARD,0688,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-10-23
2019-08-23,2019-08-23,2019-09-22,SUBSCRIPTION,MASTERCARD,0688,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-09-23
2019-08-23,,,payment_transaction,CC,0688,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-07-23,,,payment_transaction,CC,0688,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-07-23,2019-07-23,2019-08-22,SUBSCRIPTION,MASTERCARD,0688,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-08-23
2019-06-23,,,payment_transaction,CC,0688,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-06-23,2019-06-23,2019-07-22,SUBSCRIPTION,MASTERCARD,0688,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-07-23
2019-05-23,,,payment_transaction,CC,0688,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-05-23,2019-05-23,2019-06-22,SUBSCRIPTION,MASTERCARD,0688,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-06-23
2019-04-23,2019-04-23,2019-05-22,SUBSCRIPTION,MASTERCARD,0688,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-05-23
2019-04-23,,,payment_transaction,CC,0688,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-03-23,,,payment_transaction,CC,,,,,BRL,,1.0,VALIDATE,APPROVED,,BR,
2019-03-23,2019-03-23,2019-04-22,SUBSCRIPTION,,0688,,,32.9,BRL,0.0,0.0,,,SETTLED,BR,2019-04-23
