Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Papai,NFCDFF-02-FLHWJHDAEQ6LFY325G032YYMLUHN7H,Firefox PC (Cadmium),2019-07-24T15:01:09.647Z,2019-07-24T15:02:17.137Z,2019-07-24T15:01:09.647Z,2019-07-24T15:02:17.137Z,2019-07-24T15:01:09.647Z,2019-07-24T15:02:17.137Z,2019-07-24T15:01:09.647Z,2019-07-24T15:02:17.137Z,
Allan bunda mole,AOCOEM2K5100000000000000000000000000578326,MStar PureTurnkey51 AOC OEM2K Smart TV,2019-12-28T01:14:19.776Z,2021-06-06T22:35:26.215Z,2019-12-28T01:14:19.776Z,2021-06-06T22:35:26.215Z,2019-12-28T01:14:19.776Z,2021-06-06T22:35:26.215Z,2019-12-28T01:14:19.776Z,2021-06-06T22:35:26.215Z,2021-06-07T00:26:52.000Z
Mamãe,SSTV-NVT1-0000000000000001568943,Samsung Novatek DTV Smart TV,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-09-29T21:22:54.771Z,2021-06-06T00:44:12.589Z,2019-09-29T21:22:54.771Z,2021-06-06T00:44:12.589Z,2021-06-07T00:26:52.000Z
Allan bunda mole,NFCDIE-03-HCQURT4VRLJTHEMN4AGYL72VPXN9RN,Edge OSS - Windows (Cadmium),2021-06-05T21:23:55.366Z,2021-06-05T23:54:19.463Z,2021-06-05T21:23:55.366Z,2021-06-05T21:26:42.424Z,2021-06-05T21:23:55.366Z,2021-06-05T23:54:19.463Z,2021-06-05T21:23:55.366Z,2021-06-05T21:26:42.424Z,2021-06-07T00:26:52.000Z
Mamãe,NFCDIE-03-HCQURT4VRLJTHEMN4AGYL72VPXN9RN,Edge OSS - Windows (Cadmium),2021-06-05T21:23:55.366Z,2021-06-05T23:54:19.463Z,2021-06-05T21:23:55.366Z,2021-06-05T21:26:42.424Z,,,,,2021-06-07T00:26:52.000Z
Allan bunda mole,NFCDFF-02-HCQUCYE1U4FKA16FN0PQN85E638H0W,Firefox PC (Cadmium),2021-06-05T21:18:53.081Z,2021-06-05T21:22:05.272Z,2021-06-05T21:18:53.081Z,2021-06-05T21:22:05.272Z,2021-06-05T21:18:53.081Z,2021-06-05T21:22:05.272Z,2021-06-05T21:18:53.081Z,2021-06-05T21:22:05.272Z,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-HCQUCYE1U4FKA16FN0PQN85E638H0W,Firefox PC (Cadmium),2021-06-05T21:18:53.081Z,2021-06-05T21:22:05.272Z,2021-06-05T21:18:53.081Z,2021-06-05T21:22:05.272Z,,,,,2021-06-07T00:26:52.000Z
Allan bunda mole,SSTV-KTM1-0000000000000002329240,Samsung 2017 Kant-M UHD TV Smart TV,2019-03-24T20:08:16.252Z,2021-06-05T17:30:05.369Z,2019-06-16T01:42:39.544Z,2021-06-05T17:29:17.253Z,2019-03-24T20:08:16.252Z,2021-06-05T17:30:05.369Z,2019-06-16T15:26:18.981Z,2021-06-05T17:29:17.253Z,2021-06-07T00:26:52.000Z
Mamãe,SSTV-KTM1-0000000000000002329240,Samsung 2017 Kant-M UHD TV Smart TV,2019-03-24T20:08:16.252Z,2021-06-05T17:30:05.369Z,2019-06-16T01:42:39.544Z,2021-06-05T17:29:17.253Z,2019-04-22T22:49:59.787Z,2021-06-05T17:28:49.732Z,2020-01-18T00:35:02.683Z,2021-06-05T17:27:09.363Z,2021-06-07T00:26:52.000Z
Papai,SSTV-KTM1-0000000000000002329240,Samsung 2017 Kant-M UHD TV Smart TV,2019-03-24T20:08:16.252Z,2021-06-05T17:30:05.369Z,2019-06-16T01:42:39.544Z,2021-06-05T17:29:17.253Z,2019-06-29T12:40:25.321Z,2021-06-03T22:47:49.692Z,2019-06-29T12:43:44.517Z,2021-05-31T00:25:27.091Z,2021-06-07T00:26:52.000Z
Papai,SSTV-NVT1-0000000000000001568943,Samsung Novatek DTV Smart TV,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-07-14T17:07:30.436Z,2021-06-03T01:27:51.741Z,2019-07-14T17:07:30.436Z,2021-06-03T01:27:51.741Z,2021-06-07T00:26:52.000Z
Akish Caxumba,SSTV-KTM1-0000000000000002329240,Samsung 2017 Kant-M UHD TV Smart TV,2019-03-24T20:08:16.252Z,2021-06-05T17:30:05.369Z,2019-06-16T01:42:39.544Z,2021-06-05T17:29:17.253Z,2019-06-12T23:35:11.241Z,2021-05-14T01:41:15.678Z,2019-06-16T01:42:39.544Z,2021-05-14T01:41:15.678Z,2021-06-07T00:26:52.000Z
Akish Caxumba,AOTV16LMT1-10-08-18-01-0000000000000105550,AOC AOC 2016 MT5800 with no FRC Smart TV,2019-07-27T18:14:31.558Z,2021-05-13T04:00:59.056Z,2019-09-01T02:28:50.213Z,2021-05-13T04:00:59.056Z,2019-12-25T21:58:55.219Z,2021-05-13T04:00:59.056Z,2019-12-25T21:58:55.219Z,2021-05-13T04:00:59.056Z,2021-06-07T00:26:52.000Z
Allan bunda mole,AOTV16LMT1-10-08-18-01-0000000000000105550,AOC AOC 2016 MT5800 with no FRC Smart TV,2019-07-27T18:14:31.558Z,2021-05-13T04:00:59.056Z,2019-09-01T02:28:50.213Z,2021-05-13T04:00:59.056Z,2019-09-01T02:28:50.213Z,2021-04-10T01:00:04.041Z,2019-09-01T02:28:50.213Z,2021-04-10T01:00:04.041Z,2021-06-07T00:26:52.000Z
Akish Caxumba,SSTV-NVT1-0000000000000001568943,Samsung Novatek DTV Smart TV,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-12-02T15:15:49.549Z,2021-03-28T00:07:59.586Z,2019-12-02T15:15:49.549Z,2021-03-28T00:07:59.586Z,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-H5K66DDV2GY5EK01WXKNUH3V7MDJCV,Firefox PC (Cadmium),2021-03-22T22:23:45.693Z,2021-05-21T01:13:14.430Z,2021-03-22T22:23:45.693Z,2021-05-21T01:13:14.430Z,,,,,2021-06-07T00:26:52.000Z
Mamãe,AOCOEM2K5100000000000000000000000000578326,MStar PureTurnkey51 AOC OEM2K Smart TV,2019-12-28T01:14:19.776Z,2021-06-06T22:35:26.215Z,2019-12-28T01:14:19.776Z,2021-06-06T22:35:26.215Z,2021-03-21T11:50:53.022Z,2021-03-21T15:43:10.172Z,2021-03-21T11:51:07.170Z,2021-03-21T15:43:10.172Z,2021-06-07T00:26:52.000Z
Akish Caxumba,NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,Firefox PC (Cadmium),2020-12-15T00:11:45.449Z,2021-03-21T13:45:49.963Z,2020-12-15T00:11:45.449Z,2021-03-16T20:24:53.349Z,2020-12-15T00:11:45.449Z,2021-03-21T13:45:49.963Z,2020-12-15T00:11:45.449Z,2021-03-16T20:24:53.349Z,2021-06-07T00:26:52.000Z
Allan bunda mole,NFCDFF-02-GJPKGTV3CKQ5ED57VH3F5JF1K1L5VX,Firefox PC (Cadmium),2020-07-24T20:53:10.491Z,2021-01-19T18:04:16.785Z,2021-01-15T20:24:48.939Z,2021-01-19T18:04:16.785Z,2020-07-24T20:53:10.491Z,2021-01-19T18:04:16.785Z,2021-01-15T20:24:48.939Z,2021-01-19T18:04:16.785Z,2021-06-07T00:26:52.000Z
Allan bunda mole,NFCDFF-02-H03YGMM8RCDYUWU1JV0HH9P3L26XKK,Firefox PC (Cadmium),,,,,,,,,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-GJPKGTV3CKQ5ED57VH3F5JF1K1L5VX,Firefox PC (Cadmium),2020-07-24T20:53:10.491Z,2021-01-19T18:04:16.785Z,2021-01-15T20:24:48.939Z,2021-01-19T18:04:16.785Z,,,,,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-H03YGMM8RCDYUWU1JV0HH9P3L26XKK,Firefox PC (Cadmium),,,,,,,,,2021-06-07T00:26:52.000Z
Allan bunda mole,SSTV-NVT1-0000000000000001568943,Samsung Novatek DTV Smart TV,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-07-25T13:41:23.384Z,2021-01-05T19:36:38.470Z,2019-07-25T13:41:23.384Z,2021-01-05T19:36:38.470Z,2021-06-07T00:26:52.000Z
Papai,SSTV-MSM1-0000000000000006129022,Samsung CE 2019 Muse-M UHD TV Smart TV,2020-05-10T22:17:22.627Z,2021-06-07T01:23:20.255Z,2020-05-10T22:22:27.093Z,2021-06-07T01:23:20.255Z,2021-01-03T00:32:55.490Z,2021-01-03T01:33:45.413Z,2021-01-03T00:33:45.185Z,2021-01-03T00:33:45.185Z,2021-06-07T00:26:52.000Z
Xandin Careca,AOTV16LMT1-10-08-18-01-0000000000000105550,AOC AOC 2016 MT5800 with no FRC Smart TV,2019-07-27T18:14:31.558Z,2021-05-13T04:00:59.056Z,2019-09-01T02:28:50.213Z,2021-05-13T04:00:59.056Z,2020-02-09T17:53:41.440Z,2021-01-01T19:30:46.079Z,2020-02-09T17:54:12.409Z,2021-01-01T18:43:46.913Z,2021-06-07T00:26:52.000Z
Xandin Careca,SSTV-KTM1-0000000000000002329240,Samsung 2017 Kant-M UHD TV Smart TV,2019-03-24T20:08:16.252Z,2021-06-05T17:30:05.369Z,2019-06-16T01:42:39.544Z,2021-06-05T17:29:17.253Z,2019-05-18T21:41:42.764Z,2021-01-01T13:52:55.837Z,2019-06-28T00:45:38.682Z,2021-01-01T13:52:55.837Z,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,Firefox PC (Cadmium),2020-12-15T00:11:45.449Z,2021-03-21T13:45:49.963Z,2020-12-15T00:11:45.449Z,2021-03-16T20:24:53.349Z,,,,,2021-06-07T00:26:52.000Z
Xandin Careca,NFCDCH-AP-GX1ND29R657YJGLGQ9FFCXYUDP9W7C,Netflix Android Phone-Chrome Android Phone,,,,,,,,,2021-06-07T00:26:52.000Z
Akish Caxumba,NFCDFF-02-GTT8YL208HC7RCYVY5UAE3ECA05LUX,Firefox PC (Cadmium),,,,,,,,,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-GTT8YL208HC7RCYVY5UAE3ECA05LUX,Firefox PC (Cadmium),,,,,,,,,2021-06-07T00:26:52.000Z
Akish Caxumba,NFCDFF-02-GT1KJ3G9V91M5GCVC4Q82NUJ9M7VD5,Firefox PC (Cadmium),2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-GT1KJ3G9V91M5GCVC4Q82NUJ9M7VD5,Firefox PC (Cadmium),2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,2020-10-21T23:55:03.761Z,,,,,2021-06-07T00:26:52.000Z
Akish Caxumba,NFCDFF-02-GFXHYA02TA3K3T10QHGMUF6H6D76X1,Firefox PC (Cadmium),2020-06-21T02:24:18.588Z,2020-10-17T10:41:04.573Z,2020-06-21T02:24:18.588Z,2020-10-17T10:41:04.573Z,2020-06-21T02:24:18.588Z,2020-10-17T10:41:04.573Z,2020-06-21T02:24:18.588Z,2020-10-17T10:41:04.573Z,2021-06-07T00:26:52.000Z
Mamãe,AOTV16LMT1-10-08-18-01-0000000000000105550,AOC AOC 2016 MT5800 with no FRC Smart TV,2019-07-27T18:14:31.558Z,2021-05-13T04:00:59.056Z,2019-09-01T02:28:50.213Z,2021-05-13T04:00:59.056Z,,,,,2021-06-07T00:26:52.000Z
Mamãe,NFCDFF-02-GRK4HYN9U3P3VMDCQCRKUDKRKYXD07,Firefox PC (Cadmium),,,,,,,,,2021-06-07T00:26:52.000Z
Xandin Careca,NFANDROID1-PRV-P-MOTORMOTO=G=8==PLUS-14554-082657E14A1A36731151E6F883F24EEC5FB68D717896921FCD60B63C190C090A6,DefaultWidevineAndroidPhone,2020-09-30T16:44:12.975Z,2020-09-30T16:54:33.883Z,2020-09-30T16:44:12.975Z,2020-09-30T16:54:33.883Z,2020-09-30T16:44:12.975Z,2020-09-30T16:54:33.883Z,2020-09-30T16:44:12.975Z,2020-09-30T16:54:33.883Z,2021-06-07T00:26:52.000Z
Mamãe,NFANDROID1-PRV-P-MOTORMOTO=G=8==PLUS-14554-082657E14A1A36731151E6F883F24EEC5FB68D717896921FCD60B63C190C090A6,DefaultWidevineAndroidPhone,2020-09-30T16:44:12.975Z,2020-09-30T16:54:33.883Z,2020-09-30T16:44:12.975Z,2020-09-30T16:54:33.883Z,,,,,2021-06-07T00:26:52.000Z
Xandin Careca,NFUWA-001-6D9BF957AA499031A7584860D3A292737AB748B1444B41FA3A19E6ADD095FB5F8564EFCB80FA7188F43C1959B69AEA7C10F045C0DC4757881FB4D784C0266314,Netflix Windows App - Cadmium Windows Mobile,2020-05-04T03:45:56.436Z,2020-09-24T12:29:19.522Z,2020-05-04T03:46:32.351Z,2020-09-24T12:29:19.522Z,2020-05-04T03:45:56.436Z,2020-09-24T12:29:19.522Z,2020-05-04T03:46:32.351Z,2020-09-24T12:29:19.522Z,2021-06-07T00:26:52.000Z
Papai,AOTV16LMT1-10-08-18-01-0000000000000105550,AOC AOC 2016 MT5800 with no FRC Smart TV,2019-07-27T18:14:31.558Z,2021-05-13T04:00:59.056Z,2019-09-01T02:28:50.213Z,2021-05-13T04:00:59.056Z,2019-07-27T18:14:31.558Z,2020-08-25T18:31:37.174Z,2020-08-25T18:31:37.174Z,2020-08-25T18:31:37.174Z,2021-06-07T00:26:52.000Z
Xandin Careca,SSTV-NVT1-0000000000000001568943,Samsung Novatek DTV Smart TV,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-06-27T23:21:30.104Z,2021-06-06T00:44:12.589Z,2019-06-27T23:21:30.104Z,2020-08-09T15:44:29.047Z,2019-06-27T23:21:30.104Z,2020-08-09T15:44:29.047Z,2021-06-07T00:26:52.000Z
Allan bunda mole,NFUWA-001-829429BF92D3D29155B43B0DF54A901B1C7B5ECF675CAD53740E853497C757909E78568ED9926623E4125F50B843EE773390C19E49D736D416359B938EB00D32,Netflix Windows App - Cadmium Windows Mobile,2019-08-21T17:02:16.710Z,2020-06-05T22:09:34.789Z,2019-08-21T17:02:16.710Z,2020-01-22T00:46:20.261Z,2019-08-21T17:02:16.710Z,2020-06-05T22:09:34.789Z,2019-08-21T17:02:16.710Z,2020-01-22T00:46:20.261Z,2021-06-07T00:26:52.000Z
Xandin Careca,NFANDROID1-PRV-P-XIAOMREDMI=NOTE=8-14292-0162FEDA044979D14051129EBF12AA30FC539BD14FE5299EE2927FBC49F0BF022,DefaultWidevineAndroidPhone,2020-05-18T21:45:33.934Z,2020-05-28T17:59:26.827Z,2020-05-18T21:45:33.934Z,2020-05-28T17:59:26.827Z,2020-05-18T21:45:33.934Z,2020-05-28T17:59:26.827Z,2020-05-18T21:45:33.934Z,2020-05-28T17:59:26.827Z,2021-06-07T00:26:52.000Z
